region,company_name,duns_number,status,capabilities,Legend_Specialization,certification,subsidiary,overseas,website,contact,address_full,primary_naics_code,primary_naics_description,secondary_naics_code,secondary_naics_description,company_type,import_export,global_duns_no,global_name,immediate_parent_duns_no,immediate_parent_name,latitude,line_of_business,longtitude,manufacturing_indicator,marketing_prescreen_score,marketing_prescreen_ranking,minority_owned_indicator,owns_rents,phone_no,subsidiary_status,web_address_url,year_of_founding,auditors,trade_style,employer_id_number_ein,domestic_parent_duns_no,domestic_parent_name,location_type,mailing_address,mailing_city,mailing_country_region,mailing_county,mailing_state,mailing_zipcode,address,physical_address,physical_city,physical_country_region,physical_county,physical_state,physical_zipcode,physical_zipcode_short,secondary_sic_code,secondary_sic_description,primary_sic_code,primary_sic_description,facility_size,sales_volume_2020,employee_all_sites_2020,employee_this_sites_2020,avg_ann_dod_total_revenue,avg_dod_contract_value
Quad Cities,TWIN CITY HOLLAND LLC,83-556-5136,83-556-5136,Aluminum and aluminum-based alloy castings,Casting,No,NA,NA,https://www.dandb.com/businessdirectory/twincityhollandllc-davenport-ia-25128752.html,https://www.dandb.com/businessdirectory/twincityhollandllc-davenport-ia-25128752.html,"9105 N ZENITH AVE, DAVENPORT, IA",331524,Aluminum Foundries (except Die-Casting),,,Private,,,,,,41.61192,ALUMINUM FOUNDRY,-90.632964,Non Manufacturer,Low,5 - Least Likely to pay,No,Rent,(563) 323-2797,Non-Subsidiary,,1995,,HOLLAND INTERNATIONAL MFG,421436937,,,Single Location,,,,,,,"9105 N ZENITH AVE, DAVENPORT, IA 52806",9105 N ZENITH AVE,DAVENPORT,USA,SCOTT,IA,528066433,52806,,,33650200,Aluminum and aluminum-based alloy castings,60000,"$6,438,072",30,30,$0,$0
Quad Cities,SIVYER STEEL CASTINGS LLC,08-133-9623,08-133-9623,"Casting, pattern making, core, mold making",Casting,ISO9001,No,No,https://www.sivyersteel.com,https://www.sivyersteel.com/contact/,"225 33RD ST, BETTENDORF, IA",331513,Steel Foundries (except Investment),,,Private,,08-133-9623,SIVYER STEEL CASTINGS LLC,08-133-9623,SIVYER STEEL CASTINGS LLC,41.524682,STEEL FOUNDRY,-90.48601,Non Manufacturer,Low,5 - Least Likely to pay,No,,(563) 355-1811,Non-Subsidiary,WWW.SIVYERSTEEL.COM,2018,,,,08-133-9623,SIVYER STEEL CASTINGS LLC,Headquarters,,,,,,,"225 33RD ST, BETTENDORF, IA 52722",225 33RD ST,BETTENDORF,USA,SCOTT,IA,527226403,52722,,,33259901,"Alloy steel castings, except investment",0,"$60,000,000",225,99,$0,$0
Quad Cities,LE CLAIRE MFG. CO.,00-596-8425,00-596-8425,Casting and machining,Casting,ISO9001 and ISO14001,No,No,https://www.leclairemfg.com/,https://www.leclairemfg.com/contact-us/,"3225 ZIMMERMAN DR, BETTENDORF, IA",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,41.557007,MFG ALUMINUM DIE-CASTINGS,-90.442474,Non Manufacturer,Low,4 - Less likely to pay,No,Owns,(563) 332-6550,Non-Subsidiary,WWW.LECLAIREMFG.COM,1966,,LE CLAIRE MANUFACTURING CO.,420925751,,,Single Location,,,,,,,"3225 ZIMMERMAN DR, BETTENDORF, IA 52722",3225 ZIMMERMAN DR,BETTENDORF,USA,SCOTT,IA,527225582,52722,,,33630000,Aluminum die-castings,110000,"$33,643,126",130,130,$0,$0
Quad Cities,KLOPPENBORG FOUNDRY & FAN CO,00-526-4569,00-526-4569,"Aluminum, bronze, copper casting",Casting,No,No,No,https://kloppenborgfoundry.net/,https://kloppenborgfoundry.net/,"3742 W RIVER DR, DAVENPORT, IA",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,41.502422,MFG ALUMINUM DIE-CASTINGS,-90.63186,Non Manufacturer,Low,4 - Less likely to pay,No,Rent,(563) 322-0260,Non-Subsidiary,WWW.KLOPPENBORGFOUNDRY.BIZ,1937,,,420892670,,,Single Location,,,,,,,"3742 W RIVER DR, DAVENPORT, IA 52802",3742 W RIVER DR,DAVENPORT,USA,SCOTT,IA,528022436,52802,,,33630000,Aluminum die-castings,12000,"$796,511",5,5,"$9,500","$9,500"
Quad Cities,"RUSSELLOY FOUNDRY, INC.",05-791-8476,05-791-8476,Iron casting,Casting,No,No,No,https://www.russelloyfoundry.com/,https://www.russelloyfoundry.com/contact,"1010 4TH ST, DURANT, IA",331511,Iron Foundries,,,Private,,,,,,41.598798,GRAY/DUCTILE IRON FOUNDRY,-90.905641,Non Manufacturer,Low,2 - Likely to pay,No,Owns,(563) 785-4461,Non-Subsidiary,WWW.RUSSELLOYFOUNDRY.COM,1968,,,420710983,,,Single Location,RURAL ROUTE 878,DURANT,USA,CEDAR,IOWA,52747,"1010 4TH ST, DURANT, IA 52747",1010 4TH ST,DURANT,USA,CEDAR,IA,527477794,52747,,,33219903,"Gray iron castings, nec",0,NA,NA,NA,NA,NA
Quad Cities,"SFS GROUP USA, INC.",06-897-3051,06-897-3051,"Fasteners, connections",Fastener-connection-rivet-washer,No,Yes,Yes,https://us.sfs.com/,https://us.sfs.com/contact-us-usa,"500 W 3RD AVE, DURANT, IA",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",,,Private,,48-336-7074,SFS GROUP AG,14-644-0326,"SFS GROUP USA, INC.",41.604278,MFG BOLTS/SCREWS/RIVETS,-90.928519,Non Manufacturer,Low,2 - Likely to pay,No,,(563) 785-4990,Non-Subsidiary,US.SFS.COM,0,,,232332520,14-644-0326,SFS GROUP AG,Branch,P.O. BOX 576,DURANT,USA,CEDAR,IOWA,527470576,"500 W 3RD AVE, DURANT, IA 52747",500 W 3RD AVE,DURANT,USA,CEDAR,IA,527479797,52747,,,34529907,"Screws, metal",0,NA,NA,NA,$0,$0
Quad Cities,IOWA PRECISION FORGE CO.,00-526-3371,00-526-3371,Forging,Forging,No,No,No,http://iowaprecisionforge.com/,http://iowaprecisionforge.com/,"510 S HOWELL ST, DAVENPORT, IA",332111,Iron and Steel Forging,,,Private,,,,,,41.516074,MFG IRON/STEEL FORGINGS,-90.60389,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(563) 322-8713,Non-Subsidiary,WWW.IOWAPRECISIONFORGE.COM,1977,,,421079408,,,Single Location,P.O. BOX 3443,DAVENPORT,USA,SCOTT,IOWA,528083443,"510 S HOWELL ST, DAVENPORT, IA 52802",510 S HOWELL ST,DAVENPORT,USA,SCOTT,IA,528021822,52802,,,34629905,Horseshoes,46000,"$3,396,920",20,20,$0,$0
Quad Cities,UNIPARTS OLSEN INC.,01-210-3280,01-210-3280,"Forging, machining, welding",Forging,No,Yes,Yes,https://www.unipartsgroup.com/,https://www.unipartsgroup.com/home/contactus,"1100 E LE CLAIRE RD, ELDRIDGE, IA",331529,Other Nonferrous Metal Foundries (except Die-Casting),,,Private,Importer,91-850-8677,UNIPARTS INDIA LIMITED,91-850-8677,UNIPARTS INDIA LIMITED,41.655737,COPPER FOUNDRY,-90.57007,Non Manufacturer,Low,2 - Likely to pay,No,Rent,(563) 285-8279,Subsidiary,WWW.OLSENENG.COM,1998,,,364223461,01-210-3280,UNIPARTS INDIA LIMITED,Single Location,,,,,,,"1100 E LE CLAIRE RD, ELDRIDGE, IA 52748",1100 E LE CLAIRE RD,ELDRIDGE,USA,SCOTT,IA,527481740,52748,,,33660000,Copper foundries,0,"$95,984,510",300,300,$0,$0
Quad Cities,YOUNG BROTHERS STAMP WORKS INC,00-526-4395,00-526-4395,Steel stamping,Metal stamping,No,No,No,http://www.youngbrosstampworks.com/,http://www.youngbrosstampworks.com/contact/,"1415 HOWARD AVE, MUSCATINE, IA",339950,Sign Manufacturing,,,Private,,,,,,41.440793,MFG SIGNS/ADVERTISING SPECIALTIES,-91.036884,Non Manufacturer,Low,1 - Most likely to pay,No,Rent,(563) 263-3575,Non-Subsidiary,WWW.YOUNGBROSSTAMPWORKS.COM,1904,,,420838518,,,Single Location,P.O. BOX 75,MUSCATINE,USA,MUSCATINE,IOWA,527610002,"1415 HOWARD AVE, MUSCATINE, IA 52761",1415 HOWARD AVE,MUSCATINE,USA,MUSCATINE,IA,527615224,52761,,,39939905,"Letters for signs, metal",0,"$1,500,000",18,18,$0,$0
Quad Cities,ROHNER ENGINEERING INC,79-455-1168,79-455-1168,"Machine parts, stamped or pressed metal",Metal stamping,No,Yes,Yes,https://www.manta.com/c/mmyrsgc/rohner-engineering-inc,https://www.manta.com/c/mmyrsgc/rohner-engineering-inc,"701 N ELM ST, WEST LIBERTY, IA",332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",,,Private,,,,,,41.574238,"METAL STAMPINGS, NEC, NSK",-91.267186,Non Manufacturer,N/A,N/A,No,Rent,(319) 627-2510,Non-Subsidiary,WWW.RGENERGY.COM,1992,,,421386941,,,Single Location,,,,,,,"701 N ELM ST, WEST LIBERTY, IA 52776",701 N ELM ST,WEST LIBERTY,USA,MUSCATINE,IA,527761257,52776,,,34699908,"Machine parts, stamped or pressed metal",0,NA,NA,NA,NA,NA
